,Seal.ID,Size,Sex,Location,HandlingDate,Before,After,HandleSector,BeforeSector,AfterSector
1,TJ70,A,F,Laysan,2001-10-10,0.052631578947369,0.151515151515151,1,0,0
2,TT26,A,F,Laysan,2001-10-11,0.045454545454545,0,19,0,0
3,T84F,A,F,Laysan,2001-10-09,0.083333333333333,0.052631578947369,8,0.75,0
4,Y608,A,F,Laysan,2001-10-11,0,0,6,0,0
5,BF44,A,F,Laysan,2001-10-12,0.08,0.04,1,0.03921568627451,0
6,TC50,A,M,Laysan,2001-10-06,0.111111111111111,0.166666666666667,17,0.3,0
7,TJ58,A,M,Laysan,2001-10-07,0,0,20,0.214285714285714,0.020408163265306
8,TZ56,A,M,Laysan,2001-10-13,0,0.041666666666667,15,0.7,0
9,TN40,A,M,Laysan,2001-10-13,0.09375,0,15,0.060606060606061,0
10,TZ34,A,M,Laysan,2001-10-17,0.157894736842105,0.055555555555556,15,0.1,0
12,TD48,J,F,Laysan,2001-10-09,0.047619047619048,0,8,0.208333333333333,0
13,TD98,J,F,Laysan,2001-10-11,0.071428571428571,0,1,0.413793103448276,0
14,TD82,J,F,Laysan,2001-10-05,0,0.045454545454545,19,0,0
15,TD64,J,F,Laysan,2001-10-08,0.05,0.048780487804878,20,0.333333333333333,0.020408163265306
16,TY78,J,M,Laysan,2001-10-07,0.25,0.090909090909091,2,0.146341463414634,0.612244897959184
17,TD28,J,M,Laysan,2001-10-07,0.076923076923077,0.054054054054054,1,0.107142857142857,0
18,TD90,J,M,Laysan,2001-10-07,0.037037037037037,0,1,0,0
19,TD84,J,M,Laysan,2001-10-08,0,0.068181818181818,1,0,0
20,TY65,J,M,Laysan,2001-10-08,0,0,1,0.125,0
21,TM44,W,F,Laysan,2001-10-11,0,0,6,0,0
22,TM22,W,F,Laysan,2001-10-10,0.023809523809524,0,19,0,0
23,TM64,W,F,Laysan,2001-10-06,0,0,17,0,0
24,TM34,W,F,Laysan,2001-10-09,0.048780487804878,0,2,0.318181818181818,0.612244897959184
25,TM56,W,F,Laysan,2001-10-07,0,0,20,0,0.020408163265306
26,TM24,W,M,Laysan,2001-10-11,0.073170731707317,0.117647058823529,20,0.209302325581395,0.020408163265306
28,TM28,W,M,Laysan,2001-10-06,0,0,1,0.13953488372093,0
29,TM20,W,M,Laysan,2001-10-09,0,0.020833333333333,1,0.116279069767442,0
30,TM16,W,M,Laysan,2001-10-08,0,0,3,0.081632653061225,0.081632653061225
